Date,ATM_ID,Total_Withdrawals,Total_Deposits,Previous_Day_Cash_Level,Cash_Demand_Next_Day,Day_of_Week,Time_of_Day,Location_Type,Weather_Condition,Nearby_Competitor_ATMs,Holiday_Flag,Special_Event_Flag
2023-11-14,18,42844.95,11684.09,68785.1,41262.02,Tuesday,Evening,Mall,Rainy,0,0,1
2022-09-30,4,41994.04,9488.7,159585.58,41254.56,Friday,Morning,Mall,Clear,2,0,0
2023-04-26,25,35502.93,11084.77,108466.13,34500.51,Wednesday,Night,Bank Branch,Clear,5,0,0
2023-02-20,14,60977.16,12326.91,131297.95,58153.32,Monday,Afternoon,Bank Branch,Snowy,9,0,0
2023-05-21,50,50132.19,4285.68,133336.97,52069.53,Sunday,Afternoon,Supermarket,Snowy,2,0,0
2023-12-26,9,22181.89,11817.55,77843.35,22577.38,Tuesday,Morning,Supermarket,Clear,6,0,0
2023-02-28,26,52821.07,17194.8,46728.97,50768.36,Tuesday,Morning,Mall,Rainy,5,0,0
2023-02-11,2,53772.02,5436.76,97502.69,49816.68,Saturday,Evening,Bank Branch,Cloudy,8,0,0
2023-07-22,20,47656.65,11633.32,143361.16,45916.0,Saturday,Night,Mall,Cloudy,5,0,0
2023-01-25,28,54229.34,16445.84,88361.64,52941.19,Wednesday,Evening,Gas Station,Snowy,6,0,0
2022-12-08,47,31621.61,4493.53,129547.69,30866.82,Thursday,Afternoon,Bank Branch,Rainy,1,0,0
2023-09-06,7,74265.94,14021.73,98637.8,72145.79,Wednesday,Afternoon,Gas Station,Clear,9,0,0
2023-05-08,44,55475.39,9045.74,22342.3,50468.43,Monday,Night,Gas Station,Cloudy,3,0,1
2022-07-11,8,23372.79,15063.32,26595.73,23204.66,Monday,Night,Bank Branch,Cloudy,4,0,0
2023-05-14,47,49720.11,6106.47,178123.67,53063.37,Sunday,Afternoon,Supermarket,Rainy,1,0,0
2023-12-13,35,55869.76,10084.82,41623.74,52298.19,Wednesday,Evening,Mall,Clear,9,0,0
2022-08-21,14,33220.86,2720.29,68120.38,30866.55,Sunday,Night,Standalone,Snowy,9,0,0
2022-08-15,17,57761.23,12262.53,145879.35,57436.04,Monday,Evening,Standalone,Cloudy,9,0,0
2023-01-06,36,74860.52,12318.39,40372.77,72923.17,Friday,Night,Bank Branch,Rainy,6,0,0
2022-05-19,50,40204.32,12767.58,65824.36,40697.07,Thursday,Morning,Supermarket,Snowy,3,0,0
2022-05-29,40,56193.45,12527.51,89417.66,61217.98,Sunday,Evening,Supermarket,Rainy,8,0,0
2022-04-25,4,52916.95,9684.64,82885.05,55678.01,Monday,Afternoon,Supermarket,Clear,7,0,1
2023-03-26,2,64239.39,2919.64,51473.81,66642.69,Sunday,Morning,Standalone,Rainy,9,0,0
2022-03-04,6,48185.82,14969.35,90324.11,47375.69,Friday,Evening,Gas Station,Snowy,8,0,0
2022-04-14,42,33909.66,9941.48,133954.25,32467.54,Thursday,Night,Standalone,Clear,7,0,0
2023-10-30,4,63283.93,12048.81,93854.88,63793.55,Monday,Afternoon,Supermarket,Cloudy,4,0,0
2022-09-30,29,34795.79,9225.33,67076.59,37478.15,Friday,Night,Standalone,Snowy,8,0,0
2022-01-06,18,76767.27,19685.79,147304.88,82551.57,Thursday,Evening,Standalone,Rainy,4,0,1
2022-05-27,26,58165.71,7359.44,185322.93,57531.87,Friday,Morning,Mall,Cloudy,7,0,0
2022-07-03,44,40882.1,7171.79,147757.04,38807.09,Sunday,Evening,Bank Branch,Clear,3,0,0
2022-01-28,34,66331.34,2509.74,43836.58,62687.69,Friday,Afternoon,Gas Station,Snowy,4,0,1
2023-07-04,10,49671.05,10679.91,45163.66,45041.59,Tuesday,Morning,Mall,Clear,3,0,0
2022-04-29,36,46508.17,19196.17,121849.82,49695.51,Friday,Afternoon,Bank Branch,Clear,1,0,0
2022-10-20,14,39660.32,10739.06,108552.3,37795.0,Thursday,Night,Supermarket,Rainy,3,0,0
2023-01-06,31,21815.62,11237.1,38761.18,21200.42,Friday,Morning,Mall,Rainy,4,0,0
2022-09-01,48,58815.87,14877.31,114321.7,62453.23,Thursday,Evening,Bank Branch,Rainy,5,0,0
2023-08-03,15,25542.4,10919.87,104943.45,23601.3,Thursday,Night,Mall,Cloudy,3,0,0
2023-12-27,8,37984.74,15980.33,173895.92,37690.24,Wednesday,Night,Standalone,Cloudy,9,0,0
2022-08-06,14,56259.12,16704.64,78225.17,52009.77,Saturday,Evening,Standalone,Rainy,3,0,0
2022-06-26,23,42345.92,7235.79,169330.12,41853.42,Sunday,Night,Mall,Cloudy,5,0,0
2022-10-26,40,52150.19,3149.93,171520.87,47426.84,Wednesday,Afternoon,Mall,Snowy,6,0,0
2023-11-07,21,31719.09,13493.51,66349.9,31830.88,Tuesday,Evening,Gas Station,Clear,6,0,0
2022-02-27,16,44614.56,11703.12,117701.78,47253.15,Sunday,Night,Supermarket,Rainy,3,0,0
2022-09-26,45,52243.1,5026.25,89427.16,54085.16,Monday,Morning,Standalone,Clear,4,0,1
2022-11-04,18,35627.25,6820.85,87379.25,35692.59,Friday,Evening,Mall,Clear,2,0,1
2023-07-24,47,74941.56,6805.7,112312.1,79869.1,Monday,Evening,Bank Branch,Clear,4,0,0
2022-10-15,24,40307.83,10848.45,60503.35,38113.38,Saturday,Night,Supermarket,Snowy,9,0,0
2022-04-15,26,70351.92,14995.24,20235.36,75006.35,Friday,Evening,Bank Branch,Snowy,4,0,0
2022-08-16,25,47307.03,15268.41,73402.5,45191.11,Tuesday,Evening,Supermarket,Cloudy,3,0,0
2022-09-04,45,26431.44,13987.43,159044.03,25704.5,Sunday,Evening,Bank Branch,Clear,5,0,0
2023-12-01,41,32863.63,8703.91,89834.39,30421.4,Friday,Evening,Standalone,Cloudy,4,0,0
2023-05-09,29,52432.29,20960.93,98837.8,48256.1,Tuesday,Evening,Mall,Clear,7,0,0
2022-03-24,15,65200.49,10291.08,139632.47,70835.27,Thursday,Evening,Mall,Rainy,1,0,0
2022-07-05,45,76184.76,8232.0,20141.82,71460.97,Tuesday,Afternoon,Gas Station,Clear,5,0,0
2022-09-09,1,51718.97,3463.96,121955.38,49994.62,Friday,Night,Mall,Clear,1,0,0
2022-12-21,25,32262.36,8433.35,183492.67,32450.46,Wednesday,Afternoon,Standalone,Snowy,5,0,0
2023-11-27,7,53958.54,12269.78,104576.55,52316.77,Monday,Night,Supermarket,Rainy,3,0,0
2022-07-29,9,37509.0,2389.74,10000.0,40285.67,Friday,Evening,Supermarket,Cloudy,0,0,0
2023-09-01,24,55653.22,5473.89,96180.44,60113.44,Friday,Night,Mall,Rainy,5,0,0
2023-03-23,1,35776.26,7848.84,130510.86,34531.18,Thursday,Afternoon,Bank Branch,Snowy,2,0,0
2023-04-05,44,18665.05,6345.87,105603.73,17142.08,Wednesday,Night,Mall,Snowy,6,0,0
2023-04-17,8,69434.42,5943.44,113622.62,65409.42,Monday,Evening,Supermarket,Clear,2,0,0
2023-12-21,24,46433.49,15615.99,119630.48,46195.68,Thursday,Evening,Gas Station,Snowy,9,0,0
2023-01-05,11,50548.14,2075.33,53387.85,48409.76,Thursday,Evening,Supermarket,Snowy,3,0,0
2023-05-07,17,64662.84,10984.63,59637.32,64061.11,Sunday,Afternoon,Bank Branch,Clear,8,0,0
2022-05-17,8,77810.33,12661.58,81517.82,81836.29,Tuesday,Morning,Bank Branch,Snowy,6,0,0
2023-01-02,35,60540.08,7767.13,119633.67,59579.17,Monday,Evening,Gas Station,Snowy,3,0,0
2022-07-03,35,51343.14,9021.72,40545.84,48231.72,Sunday,Evening,Bank Branch,Cloudy,1,0,1
2023-08-11,33,56706.66,9931.17,202816.87,55095.82,Friday,Night,Mall,Clear,4,0,0
2022-10-14,5,45414.55,13223.78,10000.0,47621.53,Friday,Morning,Mall,Clear,7,0,0
2023-04-17,42,50346.25,17597.24,14663.76,49581.61,Monday,Night,Supermarket,Cloudy,1,0,0
2023-01-10,39,51967.05,3861.94,127683.62,49363.89,Tuesday,Afternoon,Standalone,Cloudy,8,0,0
2023-10-16,41,38084.14,5658.57,123377.43,37531.24,Monday,Morning,Mall,Cloudy,4,0,0
2023-06-21,28,50123.57,5904.23,96381.4,49670.52,Wednesday,Evening,Mall,Cloudy,5,0,0
2023-05-26,7,55279.29,10067.69,133809.96,53028.06,Friday,Morning,Gas Station,Clear,6,0,0
2023-08-02,9,57513.62,8178.47,128385.1,63215.35,Wednesday,Evening,Mall,Cloudy,8,0,0
2022-09-07,8,56325.87,13380.48,100004.01,59340.73,Wednesday,Afternoon,Supermarket,Cloudy,6,0,0
2023-05-25,12,29851.17,6925.98,113411.83,31000.17,Thursday,Night,Gas Station,Snowy,3,0,0
2023-09-22,34,68128.88,5795.23,10000.0,72964.21,Friday,Afternoon,Mall,Clear,4,0,0
2022-03-14,33,66892.18,6405.65,93341.65,69118.6,Monday,Afternoon,Supermarket,Cloudy,2,0,1
2022-10-09,48,48375.0,10693.45,97615.34,51190.24,Sunday,Evening,Gas Station,Snowy,0,0,0
2022-12-26,23,56596.9,14831.98,195641.48,55606.75,Monday,Night,Standalone,Clear,2,0,0
2022-01-10,24,46580.48,9912.2,58716.18,46583.95,Monday,Afternoon,Supermarket,Cloudy,0,0,0
2022-07-30,37,61015.18,7405.73,98206.73,55487.16,Saturday,Morning,Mall,Cloudy,4,0,0
2022-06-01,35,37672.09,5098.57,171181.72,36019.39,Wednesday,Afternoon,Gas Station,Snowy,6,0,0
2022-01-05,44,69816.03,17260.31,128005.64,67973.06,Wednesday,Evening,Standalone,Rainy,8,0,0
2022-07-14,40,60273.7,1537.25,101258.25,61786.21,Thursday,Morning,Supermarket,Clear,3,0,1
2022-10-10,22,60619.87,9221.15,148116.04,60185.96,Monday,Morning,Standalone,Snowy,9,0,0
2023-04-09,27,48242.29,13738.12,60363.86,49282.76,Sunday,Night,Supermarket,Cloudy,9,0,0
2022-04-23,35,28754.33,9153.89,186265.43,29981.15,Saturday,Morning,Mall,Rainy,0,0,0
2022-09-28,1,62982.16,7365.92,132124.77,57222.05,Wednesday,Morning,Supermarket,Rainy,6,0,0
2022-06-12,35,29247.02,12742.47,18701.81,27833.09,Sunday,Evening,Mall,Snowy,2,0,1
2023-04-05,37,63161.58,4792.44,69739.49,59004.33,Wednesday,Night,Supermarket,Snowy,0,0,0
2022-04-15,47,38300.22,1635.68,10000.0,35906.11,Friday,Afternoon,Gas Station,Snowy,3,0,0
2023-11-24,14,26154.63,11852.09,139788.57,26170.98,Friday,Morning,Supermarket,Clear,8,0,0
2023-07-10,3,49822.9,5273.5,128175.47,52214.19,Monday,Afternoon,Supermarket,Rainy,5,0,0
2022-10-09,1,67436.46,10771.66,76986.22,64371.84,Sunday,Afternoon,Bank Branch,Clear,5,0,0
2023-11-18,5,35416.64,9527.59,160017.85,37714.82,Saturday,Afternoon,Bank Branch,Rainy,6,0,0
2022-06-11,26,73640.01,11402.64,95823.58,79420.11,Saturday,Night,Supermarket,Clear,0,0,0
2022-12-17,14,59596.06,9021.08,231169.27,57814.54,Saturday,Afternoon,Bank Branch,Snowy,4,0,0
2023-03-10,39,52144.34,12819.86,40028.23,54035.69,Friday,Evening,Mall,Cloudy,3,0,0
2022-05-20,27,43315.46,6696.39,132084.5,39997.92,Friday,Night,Bank Branch,Snowy,3,0,0
2023-04-16,9,44354.67,13940.66,80129.91,46519.42,Sunday,Night,Supermarket,Clear,6,0,0
2022-05-12,15,56219.21,4188.22,66147.95,52452.79,Thursday,Night,Standalone,Snowy,1,0,0
2022-03-28,15,62417.39,15850.23,91346.81,64756.99,Monday,Night,Standalone,Rainy,4,0,0
2023-11-19,26,40962.53,20138.98,118350.11,40322.7,Sunday,Morning,Supermarket,Clear,6,0,0
2022-07-02,42,37787.73,10656.48,102914.97,41025.8,Saturday,Morning,Supermarket,Snowy,2,0,1
2023-01-03,13,46621.13,17785.0,133884.14,46289.75,Tuesday,Afternoon,Standalone,Snowy,1,0,0
2022-05-09,32,70578.64,19049.8,130348.8,63956.99,Monday,Morning,Gas Station,Cloudy,0,0,0
2022-09-03,39,31671.5,8563.16,172571.22,31549.05,Saturday,Night,Bank Branch,Cloudy,4,0,0
2023-08-24,49,66835.49,10362.53,39939.22,70785.45,Thursday,Afternoon,Gas Station,Snowy,4,0,0
2023-08-01,32,50438.14,6156.92,22133.5,51921.87,Tuesday,Evening,Mall,Rainy,3,0,1
2023-11-01,4,25175.58,6471.66,96611.7,27523.53,Wednesday,Morning,Standalone,Rainy,7,0,1
2023-01-13,30,42927.83,11265.17,60319.79,45875.02,Friday,Night,Standalone,Rainy,1,0,0
2022-05-29,37,58894.49,2147.79,143697.11,59207.24,Sunday,Afternoon,Gas Station,Snowy,3,0,0
2023-03-09,23,76662.24,14201.91,46608.65,72162.48,Thursday,Morning,Mall,Cloudy,4,0,0
2023-09-20,39,30024.84,10945.18,72518.66,27045.02,Wednesday,Night,Gas Station,Snowy,8,0,0
2023-12-27,45,7790.99,13453.22,83382.7,8539.71,Wednesday,Afternoon,Mall,Cloudy,2,0,0
2023-04-14,15,30290.42,9240.87,188276.5,32945.8,Friday,Morning,Supermarket,Rainy,0,0,0
2023-03-22,43,66655.71,13410.26,205381.57,63644.79,Wednesday,Evening,Supermarket,Cloudy,3,0,0
2023-04-26,29,23074.07,11337.26,42929.88,23711.91,Wednesday,Morning,Standalone,Snowy,9,0,0
2022-10-21,36,72123.07,12603.75,10000.0,75429.76,Friday,Night,Supermarket,Snowy,5,0,0
2022-05-23,13,67913.51,14528.45,71301.01,68973.15,Monday,Night,Gas Station,Snowy,6,0,0
2022-09-07,32,52655.2,3957.31,98153.44,56266.95,Wednesday,Evening,Mall,Cloudy,3,0,0
2022-10-29,7,40472.65,6698.7,97923.96,37055.34,Saturday,Evening,Standalone,Rainy,3,0,0
2022-01-25,22,50631.6,21423.01,95789.75,54646.63,Tuesday,Afternoon,Supermarket,Snowy,5,0,0
2022-03-11,28,58915.65,11140.28,140795.32,57643.29,Friday,Afternoon,Standalone,Snowy,0,0,0
2023-09-17,2,56641.13,1752.75,79859.75,56422.39,Sunday,Night,Standalone,Cloudy,4,0,0
2022-04-22,42,75735.88,1779.85,110667.5,74898.75,Friday,Morning,Mall,Rainy,2,0,0
2022-12-30,45,45931.43,9763.12,132234.06,46218.84,Friday,Evening,Gas Station,Cloudy,7,0,0
2022-10-30,6,30420.24,7577.1,110970.9,31017.5,Sunday,Afternoon,Gas Station,Clear,4,0,0
2023-04-16,28,27790.61,6194.71,133785.38,28959.72,Sunday,Night,Bank Branch,Clear,6,0,0
2022-04-01,28,24809.65,18877.76,14603.65,24933.4,Friday,Night,Gas Station,Snowy,7,0,0
2023-06-14,44,52733.34,8328.1,105724.31,54682.08,Wednesday,Night,Supermarket,Cloudy,7,0,0
2023-10-23,44,46314.97,14134.53,111489.7,44817.12,Monday,Evening,Bank Branch,Cloudy,1,0,0
2023-12-27,20,50294.68,11349.36,91720.62,54687.23,Wednesday,Evening,Bank Branch,Snowy,1,0,0
2023-10-25,30,41803.66,8690.24,70117.22,38162.82,Wednesday,Evening,Bank Branch,Clear,9,0,0
2022-07-11,11,33262.07,4558.53,123059.23,33565.03,Monday,Morning,Bank Branch,Rainy,4,0,0
2023-07-06,28,58964.06,13882.08,106147.15,54098.3,Thursday,Evening,Gas Station,Rainy,2,0,0
2022-08-30,25,13098.5,0.0,97370.36,12948.56,Tuesday,Night,Bank Branch,Clear,9,0,0
2022-05-18,39,37861.02,14377.04,83580.46,36025.38,Wednesday,Evening,Supermarket,Snowy,0,0,0
2022-12-11,33,61529.85,10867.12,85537.94,66906.37,Sunday,Morning,Supermarket,Snowy,7,0,0
2022-06-29,1,36381.9,13147.04,61730.81,32838.86,Wednesday,Morning,Standalone,Rainy,5,0,0
2023-12-13,27,55645.53,10166.88,76219.86,54434.72,Wednesday,Night,Supermarket,Rainy,2,0,0
2023-05-18,13,37880.94,4106.63,53036.89,40017.75,Thursday,Afternoon,Standalone,Clear,7,0,0
2022-07-22,41,43014.09,12088.15,80640.85,40333.98,Friday,Evening,Supermarket,Clear,0,0,1
2023-07-27,3,58376.62,14270.78,118215.82,62061.21,Thursday,Evening,Bank Branch,Cloudy,2,0,0
2022-07-11,39,30762.95,7791.23,140986.37,32976.19,Monday,Morning,Mall,Clear,8,0,0
2022-01-05,6,60915.63,13336.42,97439.68,63449.75,Wednesday,Morning,Bank Branch,Clear,5,0,0
2022-08-25,8,50492.4,11575.88,96057.06,47554.44,Thursday,Afternoon,Gas Station,Rainy,0,0,0
2023-11-24,27,68533.96,12327.24,107197.56,65409.35,Friday,Morning,Standalone,Rainy,8,0,0
2022-11-07,9,52910.27,5935.33,149167.66,49385.75,Monday,Morning,Mall,Cloudy,6,0,1
2023-07-03,37,33868.37,16384.67,88750.1,31728.32,Monday,Morning,Supermarket,Rainy,0,0,1
2022-02-25,33,75562.03,11573.34,123146.0,68557.31,Friday,Morning,Bank Branch,Rainy,0,0,1
2023-03-19,42,35113.51,14186.91,118528.84,37622.82,Sunday,Afternoon,Standalone,Rainy,4,0,0
2022-08-25,44,46422.47,8235.22,68821.72,46687.1,Thursday,Evening,Standalone,Clear,3,0,0
2022-07-16,24,64077.22,14921.6,135334.5,61869.88,Saturday,Evening,Supermarket,Rainy,7,0,0
2023-08-08,15,21789.56,8070.34,10000.0,20872.55,Tuesday,Evening,Standalone,Snowy,1,0,1
2023-07-25,32,71264.83,5778.12,153086.93,71901.88,Tuesday,Evening,Supermarket,Clear,5,0,0
2023-05-29,32,32655.22,18773.82,40294.17,31523.29,Monday,Evening,Supermarket,Rainy,7,0,0
2023-03-25,24,43026.69,0.0,93048.59,46156.6,Saturday,Night,Bank Branch,Clear,0,0,0
2022-12-26,41,54113.14,24716.67,141448.62,50984.94,Monday,Night,Standalone,Rainy,2,0,0
2023-12-01,49,49186.42,13552.79,78648.84,52947.23,Friday,Morning,Gas Station,Cloudy,0,0,0
2022-01-30,49,61569.88,8593.05,111708.6,63590.51,Sunday,Night,Gas Station,Cloudy,6,0,1
2022-04-18,12,25949.56,11719.92,142258.04,28319.43,Monday,Evening,Bank Branch,Cloudy,0,0,0
2023-08-25,39,60649.93,13555.68,192410.99,54768.19,Friday,Morning,Bank Branch,Rainy,8,0,0
2023-12-18,2,61839.14,8506.98,99247.68,56386.11,Monday,Evening,Supermarket,Cloudy,7,0,0
2023-03-21,3,65147.58,20058.95,108989.6,65159.24,Tuesday,Evening,Gas Station,Clear,2,0,0
2023-03-14,49,26115.7,17328.28,102023.15,28269.61,Tuesday,Morning,Standalone,Cloudy,3,0,0
2023-08-29,37,27914.99,23433.19,88936.85,29203.52,Tuesday,Evening,Gas Station,Cloudy,8,0,0
2023-04-02,49,44705.23,4169.59,32713.63,45797.26,Sunday,Night,Bank Branch,Cloudy,9,0,0
2023-09-07,17,29526.25,11179.47,43959.35,26760.25,Thursday,Morning,Bank Branch,Cloudy,5,0,0
2023-11-29,49,22921.66,3361.77,99285.95,22253.1,Wednesday,Afternoon,Supermarket,Clear,4,0,0
2023-11-27,2,44063.04,4803.71,117054.6,42704.61,Monday,Afternoon,Standalone,Snowy,4,0,0
2023-05-10,2,53296.9,8537.14,163071.32,53745.5,Wednesday,Afternoon,Bank Branch,Cloudy,0,0,0
2023-11-05,28,91523.99,8625.4,89513.88,87091.08,Sunday,Evening,Standalone,Rainy,0,0,0
2022-09-04,23,57985.45,11933.76,176433.57,55285.14,Sunday,Evening,Gas Station,Snowy,2,0,0
2023-06-27,37,75923.83,9589.1,39774.61,77759.08,Tuesday,Evening,Supermarket,Cloudy,1,0,0
2023-07-18,32,49149.97,14032.08,110507.7,53520.07,Tuesday,Evening,Gas Station,Snowy,9,0,0
2023-08-11,33,58147.77,11684.94,86639.34,60010.58,Friday,Morning,Bank Branch,Rainy,0,1,0
2023-03-15,1,47629.96,18167.31,34373.25,49231.57,Wednesday,Afternoon,Bank Branch,Rainy,4,0,0
2022-10-05,19,89797.27,14172.73,15345.67,98529.42,Wednesday,Night,Standalone,Cloudy,2,0,0
2023-07-06,2,39589.95,4376.85,78266.2,36846.2,Thursday,Morning,Bank Branch,Cloudy,6,0,0
2023-09-05,44,41611.18,9419.16,82009.89,37731.65,Tuesday,Afternoon,Standalone,Rainy,7,0,0
2022-04-21,26,61679.64,9748.38,55592.44,64708.28,Thursday,Afternoon,Mall,Clear,9,0,1
2023-01-20,32,52900.18,12275.3,138081.97,52252.55,Friday,Morning,Bank Branch,Snowy,5,0,0
2022-07-10,6,43486.29,15375.29,79715.42,42867.25,Sunday,Morning,Gas Station,Clear,4,0,0
2023-05-05,32,64121.46,11507.83,50666.3,60598.67,Friday,Morning,Gas Station,Cloudy,9,0,0
2023-11-25,4,49194.74,12949.85,88198.23,49262.27,Saturday,Night,Standalone,Clear,4,0,1
2023-03-02,11,49089.68,4595.11,68436.48,48521.93,Thursday,Afternoon,Mall,Clear,0,0,0
2023-02-09,17,53244.6,7888.56,182348.72,51598.81,Thursday,Night,Bank Branch,Snowy,5,0,0
2022-12-01,38,23962.67,799.76,84237.48,23688.27,Thursday,Night,Supermarket,Cloudy,5,0,0
2022-07-28,24,26062.14,12285.27,54113.1,25456.64,Thursday,Night,Supermarket,Snowy,2,0,0
2022-01-22,5,66007.09,14234.67,182255.35,71814.35,Saturday,Night,Gas Station,Rainy,3,0,0
2023-11-09,34,39718.56,3693.68,136251.87,43533.54,Thursday,Night,Bank Branch,Snowy,3,0,0
2023-09-03,6,47826.49,10902.07,105315.36,51077.75,Sunday,Morning,Supermarket,Snowy,5,0,0
2022-07-27,22,73839.79,9629.99,60186.35,81082.2,Wednesday,Night,Standalone,Rainy,7,0,0
2022-01-08,11,48498.42,18366.9,138326.88,46225.98,Saturday,Evening,Bank Branch,Clear,8,0,0
2023-12-03,48,46676.84,5765.37,26829.21,49878.17,Sunday,Morning,Gas Station,Snowy,8,0,0
2023-11-18,16,63163.14,14608.69,134663.62,61983.62,Saturday,Afternoon,Mall,Rainy,4,0,0
2023-06-13,33,40891.46,15706.05,112506.15,42904.44,Tuesday,Afternoon,Standalone,Cloudy,7,0,0
2023-08-25,9,67736.46,9177.83,149503.0,63691.14,Friday,Morning,Standalone,Clear,7,0,0
2023-10-15,6,62857.32,11556.09,10000.0,66779.06,Sunday,Night,Bank Branch,Rainy,9,0,0
2023-10-19,16,77087.29,15385.91,53969.19,70665.37,Thursday,Morning,Mall,Clear,3,0,0
2022-06-15,29,39519.13,4764.52,50013.6,37705.66,Wednesday,Afternoon,Standalone,Rainy,3,0,0
2023-05-11,3,70181.39,8044.93,44103.53,74700.41,Thursday,Afternoon,Mall,Snowy,2,0,0
2023-08-13,20,58066.19,11037.66,121250.87,60936.51,Sunday,Morning,Gas Station,Clear,4,0,0
2023-03-05,36,30054.74,20199.38,85235.41,30062.23,Sunday,Evening,Standalone,Snowy,7,0,0
